window,level,agent,seed,total_return,sharpe,execution_fill_rate,turnover_events
recent_cross_asset,E0_ideal,mean-reversion,3,-0.288847169597519,-7.197568020076949,0.9609756097560975,394
recent_cross_asset,E0_ideal,risk-parity,1,0.5420366679221129,9.323792098937838,0.9258215962441314,986
recent_cross_asset,E0_ideal,risk-parity,2,0.6317281932408692,10.509380633778523,0.9292452830188679,985
recent_cross_asset,E0_ideal,risk-parity,3,0.6230636030679555,10.254141467851657,0.9340245051837889,991
recent_cross_asset,E0_ideal,minimum-variance,1,0.5793027181408126,11.237130956785759,0.9519321394910462,1010
recent_cross_asset,E0_ideal,minimum-variance,2,0.6765600047229914,13.49692461779824,0.931067044381492,986
recent_cross_asset,E0_ideal,minimum-variance,3,0.742261916772063,13.353178800423668,0.9281663516068053,982
recent_cross_asset,E0_ideal,random,1,0.32748579681030887,6.488917406482114,0.9301181102362205,945
recent_cross_asset,E0_ideal,random,2,0.5012432033571441,9.80222914831409,0.9381044487427466,970
recent_cross_asset,E0_ideal,random,3,0.5063057814917022,8.917018297413623,0.9420560747663551,1008
recent_cross_asset,E1_default_stress,buy-and-hold,1,0.49826794132722574,8.575929394065286,0.8605313092979127,907
recent_cross_asset,E1_default_stress,buy-and-hold,2,0.5896914936810473,9.929961634640925,0.8603988603988604,906
recent_cross_asset,E1_default_stress,buy-and-hold,3,0.5995933421851336,9.621437909944962,0.8701050620821394,911
recent_cross_asset,E1_default_stress,signal-weighted,1,1.144290222033947,17.052116469959937,0.8033794162826421,523
recent_cross_asset,E1_default_stress,signal-weighted,2,1.312567029144431,17.828416936824404,0.8338150289017341,577
recent_cross_asset,E1_default_stress,signal-weighted,3,1.0539215267451127,15.21299443578485,0.8257261410788381,597
recent_cross_asset,E1_default_stress,naive-momentum,1,1.659825082195225,20.282270699630235,0.8323943661971831,591
recent_cross_asset,E1_default_stress,naive-momentum,2,1.8585863621582264,22.005954156296987,0.8295302013422818,618
