Date,Open,High,Low,Close,Volume
2021-12-31,170.529999,171.039993,170.039993,170.960007,7039300
2022-01-03,168.860001,169.009995,168.000000,168.330002,9014400
2022-01-04,168.899994,169.720001,168.729996,169.570007,6965600
2022-01-05,170.619995,170.929993,168.899994,169.059998,8715600
2022-01-06,167.160004,167.750000,166.860001,166.990005,10902700
2022-01-07,167.369995,168.009995,166.860001,167.750000,8191900
2022-01-10,167.360001,168.300003,167.309998,168.259995,7026500
2022-01-11,168.440002,170.309998,168.369995,170.289993,8369000
2022-01-12,170.190002,170.750000,170.009995,170.740005,6280700
2022-01-13,170.089996,170.220001,169.270004,170.160004,7034200
2022-01-14,170.220001,170.559998,169.479996,169.669998,7865900
2022-01-18,169.639999,170.009995,169.089996,169.389999,9322800
2022-01-19,170.389999,172.190002,170.199997,172.080002,15784500
2022-01-20,172.309998,172.600006,171.589996,171.649994,9570500
2022-01-21,172.039993,172.119995,170.740005,171.089996,10982500
2022-01-24,171.779999,172.139999,170.850006,172.029999,15727700
2022-01-25,171.949997,173.149994,171.779999,172.580002,17382100
2022-01-26,171.389999,171.729996,169.479996,169.789993,17799400
2022-01-27,168.020004,169.089996,167.330002,167.600006,15867300
2022-01-28,166.559998,167.460007,166.369995,167.100006,9782500
2022-01-31,167.789993,168.139999,167.460007,168.089996,8539300
2022-02-01,168.570007,168.850006,167.869995,168.229996,9763900
2022-02-02,168.339996,169.119995,168.160004,168.839996,9085300
2022-02-03,168.309998,168.820007,167.029999,168.600006,10650800
2022-02-04,168.039993,169.100006,167.990005,168.860001,9619600
2022-02-07,169.449997,170.300003,169.190002,170.110001,7796900
2022-02-08,170.100006,170.779999,169.949997,170.630005,5802000
2022-02-09,170.679993,171.419998,170.550003,171.210007,8002800
2022-02-10,170.520004,171.990005,170.460007,170.559998,10693500
2022-02-11,170.750000,174.199997,170.710007,173.809998,25741500
2022-02-14,173.779999,175.000000,173.679993,174.740005,13650700
2022-02-15,173.100006,173.339996,172.389999,173.080002,12603600
2022-02-16,173.490005,174.860001,173.479996,174.860001,12772100
2022-02-17,176.699997,177.529999,176.389999,177.250000,18612500
2022-02-18,177.070007,177.250000,176.509995,177.119995,12760700
2022-02-22,177.669998,178.070007,176.820007,177.490005,14960500
2022-02-23,177.389999,178.389999,177.360001,178.289993,11772200
2022-02-24,182.589996,182.600006,175.270004,177.139999,32726000
2022-02-25,176.419998,176.789993,175.789993,176.550003,11530900
2022-02-28,178.860001,178.990005,176.500000,178.380005,16055800
2022-03-01,179.050003,181.759995,179.029999,181.619995,21942100
2022-03-02,180.130005,180.710007,178.789993,179.729996,19727200
2022-03-03,179.960007,181.300003,179.500000,180.800003,15164400
2022-03-04,182.110001,183.979996,181.360001,183.679993,22390100
2022-03-07,184.449997,186.639999,184.220001,186.410004,27951800
2022-03-08,188.350006,193.300003,188.259995,191.509995,47347700
2022-03-09,186.039993,187.229996,184.759995,185.820007,26839700
2022-03-10,186.880005,187.380005,184.990005,186.399994,18455200
2022-03-11,183.740005,185.779999,183.440002,185.089996,14824700
2022-03-14,183.029999,183.289993,181.949997,182.300003,13186400
2022-03-15,179.100006,180.270004,178.009995,178.889999,16962300
2022-03-16,179.130005,180.119995,176.869995,180.009995,17548100
2022-03-17,181.160004,182.029999,180.649994,180.889999,10954100
2022-03-18,179.929993,180.929993,179.039993,179.300003,13996500
2022-03-21,179.330002,181.289993,179.320007,180.669998,10582200
2022-03-22,179.600006,179.710007,178.320007,179.360001,9621800
2022-03-23,180.289993,181.889999,179.759995,181.809998,12557300
2022-03-24,182.350006,183.509995,181.770004,183.130005,10970100
2022-03-25,181.809998,183.130005,181.350006,182.380005,7911100
2022-03-28,180.380005,181.330002,178.850006,179.059998,9489700
2022-03-29,177.020004,179.330002,176.690002,179.139999,10458900
2022-03-30,179.759995,180.919998,179.679993,180.580002,8361300
2022-03-31,180.910004,181.960007,180.559998,180.649994,9844400
2022-04-01,179.550003,180.460007,178.979996,179.500000,13034400
2022-04-04,180.240005,180.809998,179.580002,180.369995,7063100
2022-04-05,180.910004,181.490005,178.929993,179.240005,10828500
2022-04-06,179.779999,180.309998,178.699997,179.660004,8942100
2022-04-07,179.869995,180.880005,179.800003,180.339996,10140600
2022-04-08,180.520004,181.820007,180.520004,181.470001,10655700
2022-04-11,183.169998,183.330002,181.110001,182.369995,10071300
2022-04-12,184.039993,184.639999,182.960007,183.770004,12024600
2022-04-13,184.500000,184.940002,184.130005,184.649994,8651600
2022-04-14,184.279999,184.410004,182.880005,184.039993,11567200
2022-04-18,185.949997,186.100006,184.389999,184.610001,8886700
2022-04-19,183.190002,183.649994,181.330002,181.820007,12585600
2022-04-20,181.589996,182.720001,181.350006,182.710007,7038600
2022-04-21,181.770004,182.320007,180.779999,182.059998,9639800
2022-04-22,180.720001,181.610001,179.740005,180.289993,9147000
2022-04-25,177.169998,177.509995,176.479996,177.050003,13073700
2022-04-26,177.949997,178.300003,176.919998,177.320007,9042400
2022-04-27,176.460007,176.639999,175.500000,175.979996,8854700
2022-04-28,175.919998,176.970001,175.690002,176.929993,6381100
2022-04-29,178.070007,178.619995,176.710007,176.910004,7719700
2022-05-02,173.610001,174.649994,172.979996,173.630005,14318600
2022-05-03,173.889999,175.210007,173.850006,174.089996,7214300
