Date,Open,High,Low,Close,Volume
2021-01-04,222.52999877929688,223.0,214.80999755859375,217.69000244140625,37130100.0
2021-01-05,217.25999450683594,218.52000427246094,215.6999969482422,217.89999389648438,23823000.0
2021-01-06,212.1699981689453,216.49000549316406,211.94000244140625,212.25,35930700.0
2021-01-07,214.0399932861328,219.33999633789062,213.7100067138672,218.2899932861328,27694500.0
2021-01-08,218.67999267578125,220.5800018310547,217.02999877929688,219.6199951171875,22956200.0
2021-01-11,218.47000122070312,218.91000366210938,216.72999572753906,217.49000549316406,23031300.0
2021-01-12,216.5,217.10000610351562,213.32000732421875,214.92999267578125,23249300.0
2021-01-13,214.02000427246094,216.75999450683594,213.92999267578125,216.33999633789062,20087100.0
2021-01-14,215.91000366210938,217.4600067138672,212.74000549316406,213.02000427246094,29480800.0
2021-01-15,213.52000427246094,214.50999450683594,212.02999877929688,212.64999389648438,31746500.0
2021-01-19,213.75,216.97999572753906,212.6300048828125,216.44000244140625,30480900.0
2021-01-20,217.6999969482422,225.7899932861328,217.2899932861328,224.33999633789062,37777300.0
2021-01-21,224.6999969482422,226.3000030517578,222.4199981689453,224.97000122070312,30709400.0
2021-01-22,227.0800018310547,230.07000732421875,225.8000030517578,225.9499969482422,30172700.0
2021-01-25,229.1199951171875,229.77999877929688,224.22000122070312,229.52999877929688,33152100.0
2021-01-26,231.86000061035156,234.17999267578125,230.0800018310547,232.3300018310547,49169600.0
2021-01-27,238.0,240.44000244140625,230.13999938964844,232.89999389648438,69870600.0
2021-01-28,235.61000061035156,242.63999938964844,235.08999633789062,238.92999267578125,49111200.0
2021-01-29,235.99000549316406,238.02000427246094,231.35000610351562,231.9600067138672,42503100.0
2021-02-01,235.05999755859375,242.5,232.42999267578125,239.64999389648438,33314200.0
2021-02-02,241.3000030517578,242.30999755859375,238.69000244140625,239.50999450683594,25916300.0
2021-02-03,239.57000732421875,245.08999633789062,239.25999450683594,243.0,27158100.0
2021-02-04,242.66000366210938,243.24000549316406,240.3699951171875,242.00999450683594,25296100.0
2021-02-05,242.22999572753906,243.27999877929688,240.4199981689453,242.1999969482422,18054800.0
2021-02-08,243.14999389648438,243.67999267578125,240.80999755859375,242.47000122070312,22211900.0
2021-02-09,241.8699951171875,244.75999450683594,241.3800048828125,243.77000427246094,23565000.0
2021-02-10,245.0,245.9199981689453,240.88999938964844,242.82000732421875,22186700.0
2021-02-11,244.77999877929688,245.14999389648438,242.14999389648438,244.49000549316406,15751100.0
2021-02-12,243.92999267578125,245.3000030517578,242.72999572753906,244.99000549316406,16561100.0
2021-02-16,245.02999877929688,246.1300048828125,242.9199981689453,243.6999969482422,26728500.0
