scenario,level,agent,run_count,sharpe_mean,sharpe_std,sharpe_ci_low,sharpe_ci_high,return_mean,rank
high_vol,E0_ideal,buy-and-hold,10,13.09440940562016,4.557256251354161,10.5204368864093,15.896562048128345,0.32660957919803957,2
high_vol,E0_ideal,deepseek:deepseek-v4-pro,10,9.565135306351124,3.4226266939060483,7.462056597633344,11.476535078042033,0.1865908595769668,7
high_vol,E0_ideal,mean-reversion,10,2.5752510462801776,3.27128986857335,0.4240129322834738,4.411904616298876,0.02020466545124644,8
high_vol,E0_ideal,minimum-variance,10,12.669568218213346,4.968117844665084,9.82901072506159,15.645928705664977,0.3082747430597597,4
high_vol,E0_ideal,naive-momentum,10,13.209606340896707,4.073184483464446,11.07697056830656,15.753150821586956,0.2785178313671449,1
high_vol,E0_ideal,random,10,10.829438792192482,3.3203078016144425,8.896616063868663,12.715066443381854,0.23618829839921993,5
high_vol,E0_ideal,risk-parity,10,13.059057365355239,4.731220779622104,10.403593040361322,15.92003374048484,0.314621900569618,3
high_vol,E0_ideal,signal-weighted,10,10.615413468541924,3.6992583128925536,8.52328369143434,12.81333146149415,0.21697082332847098,6
high_vol,E1_default_stress,buy-and-hold,10,10.938384870284924,4.286177165050147,8.529066565553567,13.498394268642775,0.3209559500415807,3
high_vol,E1_default_stress,deepseek:deepseek-v4-pro,10,9.103262659255254,3.888918801166492,6.944378112353417,11.489447788544517,0.20678702399789123,5
high_vol,E1_default_stress,mean-reversion,10,3.753957189899669,1.478133968414408,2.885247361727738,4.56560267879478,0.04445080255466507,8
high_vol,E1_default_stress,minimum-variance,10,10.626498902396596,3.7625661175999743,8.360620790437222,12.731189069541852,0.2877319999913447,4
high_vol,E1_default_stress,naive-momentum,10,11.090883430567729,4.138177590897849,8.525254691853934,13.439220428146276,0.257090318355247,1
high_vol,E1_default_stress,random,10,8.863291899745638,4.20466498864678,6.237667170628159,11.163572532436943,0.22532149957927441,6
high_vol,E1_default_stress,risk-parity,10,11.064482409455076,4.3213681265409996,8.782349946819114,13.745770539435247,0.30300375318483547,2
high_vol,E1_default_stress,signal-weighted,10,8.73770385196402,3.87268543440256,6.405090612448703,10.977720009672153,0.2043909031309327,7
