window,level,agent,seed,total_return,sharpe,execution_fill_rate,turnover_events
recent_cross_asset,E0_ideal,signal-weighted,8,0.42264644132867457,8.373346017049032,0.9615384615384616,175
recent_cross_asset,E0_ideal,signal-weighted,9,0.4686896273888219,8.877991827318567,0.9583333333333334,184
recent_cross_asset,E0_ideal,signal-weighted,10,0.44841124295045676,9.649975793801442,0.9888268156424581,177
recent_cross_asset,E0_ideal,naive-momentum,1,0.7965308659154675,11.471178454512817,0.9953917050691244,216
recent_cross_asset,E0_ideal,naive-momentum,2,0.6074444041696478,10.804454531494748,1.0,207
recent_cross_asset,E0_ideal,naive-momentum,3,0.6146724217428081,10.57910214019593,1.0,215
recent_cross_asset,E0_ideal,naive-momentum,4,0.6436577433057757,9.653366376641412,1.0,221
recent_cross_asset,E0_ideal,naive-momentum,5,0.7619151798671036,11.802036658382358,0.9956331877729258,228
recent_cross_asset,E0_ideal,naive-momentum,6,0.6422232353137947,10.81103675567266,1.0,194
recent_cross_asset,E0_ideal,naive-momentum,7,0.6545812295254847,10.306609968206159,1.0,215
recent_cross_asset,E0_ideal,naive-momentum,8,0.6190170176707066,10.0323113235386,0.9954128440366973,217
recent_cross_asset,E0_ideal,naive-momentum,9,0.6685871505700827,9.892863859239156,1.0,222
recent_cross_asset,E0_ideal,naive-momentum,10,0.6696652228019773,9.950987490866963,1.0,211
recent_cross_asset,E0_ideal,mean-reversion,1,-0.23860520478718028,-6.748441986037044,1.0,151
recent_cross_asset,E0_ideal,mean-reversion,2,-0.3001678594326094,-8.047127721225555,1.0,153
recent_cross_asset,E0_ideal,mean-reversion,3,-0.2532324308367493,-7.687152310985395,1.0,149
recent_cross_asset,E0_ideal,mean-reversion,4,-0.21615262334115837,-5.5699336781959055,1.0,166
recent_cross_asset,E0_ideal,mean-reversion,5,-0.22228733095563102,-6.900324437542293,0.993103448275862,144
recent_cross_asset,E0_ideal,mean-reversion,6,-0.2615148404962756,-7.366512248283107,1.0,171
recent_cross_asset,E0_ideal,mean-reversion,7,-0.2604076333410108,-7.38812111583726,0.99375,159
recent_cross_asset,E0_ideal,mean-reversion,8,-0.26481284035209773,-7.047669375835111,1.0,162
recent_cross_asset,E0_ideal,mean-reversion,9,-0.264689630124066,-6.867862485306865,1.0,153
recent_cross_asset,E0_ideal,mean-reversion,10,-0.30393306674153875,-8.266426112054175,1.0,155
recent_cross_asset,E0_ideal,risk-parity,1,0.35779284331008854,4.0627687222474345,0.9827586206896551,342
recent_cross_asset,E0_ideal,risk-parity,2,0.15429918479477567,1.9176112884293246,0.9943019943019943,349
recent_cross_asset,E0_ideal,risk-parity,3,0.2549558242667622,3.3123718980890975,0.9886363636363636,348
recent_cross_asset,E0_ideal,risk-parity,4,0.2709989966871196,3.2904729073171137,0.9886363636363636,348
recent_cross_asset,E0_ideal,risk-parity,5,0.420590676203795,4.919705204948319,0.9914040114613181,346
recent_cross_asset,E0_ideal,risk-parity,6,0.23636539117322042,3.047752041043857,0.9971751412429378,353
recent_cross_asset,E0_ideal,risk-parity,7,0.2637831370827515,3.1487870246087515,0.9915254237288136,351
recent_cross_asset,E0_ideal,risk-parity,8,0.2046279800210593,2.5800493231998183,0.9857549857549858,346
recent_cross_asset,E0_ideal,risk-parity,9,0.24483352468594521,2.8772255807435783,0.9942857142857143,348
recent_cross_asset,E0_ideal,risk-parity,10,0.20936775242227101,2.5531761662564514,0.9943181818181818,350
recent_cross_asset,E0_ideal,minimum-variance,1,0.35700799870723277,3.937306025370066,0.994269340974212,347
recent_cross_asset,E0_ideal,minimum-variance,2,0.1854574489510592,2.2138935718644563,0.9858757062146892,349
recent_cross_asset,E0_ideal,minimum-variance,3,0.2526477846163391,3.2827108229708557,0.9856733524355301,344
recent_cross_asset,E0_ideal,minimum-variance,4,0.2908603881790075,3.5095592059568474,0.9941860465116279,342
recent_cross_asset,E0_ideal,minimum-variance,5,0.40015419873361546,4.56215308818016,0.985632183908046,343
recent_cross_asset,E0_ideal,minimum-variance,6,0.2577629041673053,3.2494480889901562,0.9855907780979827,342
recent_cross_asset,E0_ideal,minimum-variance,7,0.28437853410115754,3.3262249617030237,0.9943661971830986,353
recent_cross_asset,E0_ideal,minimum-variance,8,0.23686219695088973,2.853465874424352,0.9884726224783862,343
recent_cross_asset,E0_ideal,minimum-variance,9,0.31128573354853173,3.469023518187362,0.9914772727272727,349
